# Excluded records from preliminary exclusion
# Temporal inversions (answer created before parent question)
AnswerId,ParentQuestionId,AnswerCreationDate,QuestionCreationDate
64486,510348,2008-09-15 16:34:29+00:00,2009-02-04 07:04:09+00:00
261008,508657,2008-11-04 05:47:59+00:00,2009-02-03 19:54:37+00:00
261084,508657,2008-11-04 06:37:50+00:00,2009-02-03 19:54:37+00:00
261340,508657,2008-11-04 09:34:25+00:00,2009-02-03 19:54:37+00:00
261656,508657,2008-11-04 12:04:00+00:00,2009-02-03 19:54:37+00:00
264562,508657,2008-11-05 07:33:36+00:00,2009-02-03 19:54:37+00:00
1903764,1904170,2009-12-14 21:54:31+00:00,2009-12-14 23:09:35+00:00
1903809,1904170,2009-12-14 22:02:09+00:00,2009-12-14 23:09:35+00:00
1903860,1904170,2009-12-14 22:10:32+00:00,2009-12-14 23:09:35+00:00
5846590,5846818,2011-05-01 05:06:53+00:00,2011-05-01 06:11:28+00:00
5846597,5846818,2011-05-01 05:09:15+00:00,2011-05-01 06:11:28+00:00
5846609,5846818,2011-05-01 05:11:20+00:00,2011-05-01 06:11:28+00:00
9298610,9385979,2012-02-15 17:55:07+00:00,2012-02-21 22:06:21+00:00
9298791,9385979,2012-02-15 18:05:45+00:00,2012-02-21 22:06:21+00:00
9298876,9385979,2012-02-15 18:11:45+00:00,2012-02-21 22:06:21+00:00
9652138,9651970,2012-03-11 03:23:59+00:00,2012-03-11 03:44:36+00:00
10955711,33054229,2012-06-08 20:33:54+00:00,2015-10-10 12:55:24+00:00
10955713,33054229,2012-06-08 20:34:00+00:00,2015-10-10 12:55:24+00:00
10955754,33054229,2012-06-08 20:38:16+00:00,2015-10-10 12:55:24+00:00
23537972,23542593,2014-05-08 09:34:57+00:00,2014-05-08 13:04:38+00:00
23539243,23542593,2014-05-08 10:31:53+00:00,2014-05-08 13:04:38+00:00
28922627,28922597,2015-03-08 03:03:44+00:00,2015-03-08 03:59:26+00:00
28922711,28922563,2015-03-08 03:18:55+00:00,2015-03-08 03:52:17+00:00
35965963,35965882,2016-03-13 03:04:15+00:00,2016-03-13 03:49:57+00:00
38160717,38162235,2016-07-02 13:30:51+00:00,2016-07-02 16:14:01+00:00

# Orphan tag records (question ID not found)
QuestionId,Tag
40115300,python
40115300,iterator
40115300,nested-loops
40115300,itertools
