question_id,cluster
28086865,4
39663117,3
37259168,4
22412231,1
25090735,0
25279059,2
22719224,0
7549662,3
28233633,0
40091963,4
1366274,2
1751959,1
11596423,1
23042962,4
4638806,3
4585692,1
39397720,1
35880247,1
32969757,0
2323080,1
32535816,4
20383151,1
3610071,1
13596408,1
39970303,1
38164587,2
19094441,3
26077231,0
39066567,3
27462337,1
22865573,0
22739592,1
23785155,1
39231607,2
39518350,2
25571861,3
31614866,4
15745418,1
15900883,0
32023183,2
39549494,2
38895185,0
35792905,1
17717282,1
11040626,4
36747114,1
3695202,3
29552575,3
21058514,3
33769143,4
6239042,1
13144158,1
34278866,4
26080958,2
5834054,4
25705544,4
27542341,4
38316294,3
20110006,3
33127008,4
18596189,4
2483840,1
20803932,0
4848965,3
27056575,4
8701419,1
4690155,1
26673267,0
32463870,4
36908926,4
19472499,1
38780122,2
37015876,1
12030085,1
29859761,1
33753832,1
4676973,3
39111903,3
27177212,0
22108306,4
38792077,0
32589767,3
3402694,2
35942081,1
26753268,3
26487648,1
19338748,1
19111047,1
13980656,4
30849351,4
33655933,0
13163895,0
13356680,4
16991754,1
18380766,4
5522524,2
39521924,0
36795424,3
19665125,4
33792478,2
4054254,1
25109001,4
2631311,3
843277,1
38879470,4
32906669,1
23873048,4
31350589,1
37730751,4
11816236,1
11376381,3
36053881,4
13336798,1
20298058,2
3068408,0
21465348,4
37066402,0
34394344,1
36447378,2
5075335,1
36507334,0
25709818,3
35046142,4
38591938,4
37390827,2
32683412,4
34880137,4
27434689,1
34708972,0
7765113,0
37864425,4
6107905,1
39978375,1
4968210,0
25462305,4
35641116,4
36816386,4
34683400,3
36820171,1
26005274,4
38477881,2
10639333,4
25387745,1
40113343,4
29080279,1
26615756,0
6655724,0
38876562,3
33592626,3
29144956,3
23970227,1
5531249,4
35224978,1
6650906,1
24037441,3
12311196,1
1056675,2
24020720,4
14319771,1
5289680,0
19919987,2
22127346,0
22983523,4
10587826,0
29581718,3
21897420,2
24419845,1
28624489,0
1693945,4
17124199,2
21397455,1
16494824,0
21436163,2
18896682,2
17621531,1
36534795,3
34381588,0
31538738,1
36813851,3
17173743,4
17327389,3
39341571,1
18968660,3
12485148,1
32705146,4
9584565,4
39331369,0
16059073,1
31253866,2
24743446,1
2465675,0
4713589,2
19216046,4
13369009,3
37541248,2
36518512,0
29408529,0
23617898,2
40006924,3
39394936,0
34352419,4
22731782,4
19484161,0
18352815,0
4255854,0
4717238,1
38704586,1
33572928,4
35846053,4
38343972,3
39396222,0
3842927,3
15966537,3
23154821,4
23580176,1
3489451,3
34052977,4
8358781,1
5566160,4
9952655,0
5258402,1
35822563,0
11601629,4
7184454,1
23779995,0
18767257,2
10292057,2
9193773,1
15194061,4
33452601,4
13664861,3
29922373,4
28410763,2
35006204,4
11017984,3
10459673,4
