K,topic,rank,term,weight
18,0,1,python,1.6728609952589197
18,0,2,way,1.4499401844644664
18,0,3,like,1.4345131453394424
18,0,4,use,1.156724398585938
18,0,5,string,1.1370811455037635
18,0,6,using,1.1280478565297354
18,0,7,want,1.029164759087827
18,0,8,know,0.8937592531852117
18,0,9,need,0.8840932003591151
18,0,10,function,0.7883697070974683
18,0,11,example,0.7628436102828926
18,0,12,just,0.6954888085288475
18,0,13,don,0.6424416357922399
18,0,14,possible,0.622794209368409
18,0,15,does,0.5482387166749414
18,1,1,py line,1.0004104624743677
18,1,2,lib,0.9210775946618593
18,1,3,line,0.8240739801135115
18,1,4,py,0.7700511768187929
18,1,5,packages,0.7348815594099163
18,1,6,python2,0.6433215809585191
18,1,7,file,0.6347560025337964
18,1,8,lib python2,0.6326640095560857
18,1,9,site packages,0.6084285721829898
18,1,10,site,0.5369931192913725
18,1,11,usr,0.5098680090735994
18,1,12,traceback,0.4923921399691947
18,1,13,file usr,0.47406043074035364
18,1,14,traceback recent,0.4622083880016973
18,1,15,recent,0.45837569053889704
18,2,1,models,1.4255421668730854
18,2,2,model,1.0984199021830647
18,2,3,models model,0.7091871472380025
18,2,4,charfield,0.689219483889588
18,2,5,max_length,0.6718441972470507
18,2,6,models charfield,0.6716973834666478
18,2,7,charfield max_length,0.6081297626010765
18,2,8,class,0.5780422994509088
18,2,9,foreignkey,0.5140593088411443
18,2,10,models foreignkey,0.48729443647987253
18,2,11,django,0.4603242010894813
18,2,12,true,0.45912523913270387
18,2,13,blank,0.3679799971277637
18,2,14,blank true,0.3497953286414782
18,2,15,field,0.34867801753999883
18,3,1,self,1.7072468265425111
18,3,2,class,0.9780011293534839
18,3,3,def,0.8806678318894389
18,3,4,__init__,0.7130494747884085
18,3,5,__init__ self,0.6853432847194898
18,3,6,def __init__,0.6268373406465035
18,3,7,self self,0.5503855931177869
18,3,8,object,0.4496790279547993
18,3,9,return,0.39440732775834236
18,3,10,method,0.2689907195882409
18,3,11,object def,0.24222726348745002
18,3,12,self return,0.22574962553134803
18,3,13,super,0.221674539387427
18,3,14,instance,0.22087798641496864
18,3,15,return self,0.21602164251820113
18,4,1,dataframe,1.874483047272135
18,4,2,pandas,1.7556437599365091
18,4,3,df,1.5461510781214762
18,4,4,pd,1.1730512045224537
