K,topic,rank,term,weight
16,0,1,code,2.0209823529697197
16,0,2,program,1.0604690277062716
16,0,3,work,1.0520106204611421
16,0,4,python,0.8831416418575965
16,0,5,problem,0.7755570289582103
16,0,6,does,0.755458164639601
16,0,7,help,0.7437282971913195
16,0,8,doesn,0.7241430845512472
16,0,9,ve,0.7144477465893135
16,0,10,loop,0.6719994743983437
16,0,11,just,0.6449120890201105
16,0,12,trying,0.6175747433186868
16,0,13,know,0.6073214466356395
16,0,14,tried,0.5885344194166686
16,0,15,works,0.5734563399251768
16,1,1,list,3.394158933274843
16,1,2,lists,1.0122197105927284
16,1,3,element,0.555634729509111
16,1,4,elements,0.49543462762083174
16,1,5,items,0.38582160054287007
16,1,6,python list,0.36432150987898765
16,1,7,item,0.358945518038164
16,1,8,list list,0.3325389805420722
16,1,9,loop,0.3288884298402481
16,1,10,want,0.3190703389694942
16,1,11,list lists,0.3144525836939439
16,1,12,list python,0.3093563424596341
16,1,13,index,0.28958317633925507
16,1,14,comprehension,0.2867693078023572
16,1,15,tuples,0.27537562378561614
16,2,1,django,1.771296813649597
16,2,2,py,0.802399452408717
16,2,3,model,0.7024254776375644
16,2,4,form,0.554434902565205
16,2,5,template,0.4944653440351632
16,2,6,models,0.47526878287357266
16,2,7,field,0.4407831831181819
16,2,8,view,0.4398999016429509
16,2,9,views,0.42708027522878866
16,2,10,user,0.42424177638448923
16,2,11,html,0.3329857060907849
16,2,12,database,0.3083612381030223
16,2,13,admin,0.3036416980265965
16,2,14,views py,0.3012250000139889
16,2,15,page,0.29620063779080347
16,3,1,file,2.3704472646363843
16,3,2,files,0.8055513395825915
16,3,3,text,0.7556481309388874
16,3,4,csv,0.584999102597969
16,3,5,text file,0.5718313522573191
16,3,6,read,0.47446598188357725
16,3,7,line,0.4253364279996655
16,3,8,csv file,0.3896943122086307
16,3,9,txt,0.3708511834457683
16,3,10,write,0.31487627913969995
16,3,11,xml,0.30619844443541233
16,3,12,file python,0.2910375939483639
16,3,13,lines,0.28353608027746413
16,3,14,directory,0.2531093284931243
16,3,15,open,0.22573178347992226
16,4,1,dataframe,1.5049879052196518
16,4,2,pandas,1.466274214579595
16,4,3,column,1.2305284995791115
16,4,4,columns,0.9073046586502839
16,4,5,pandas dataframe,0.619995323277973
16,4,6,rows,0.5789169516616068
16,4,7,row,0.5714430549618107
16,4,8,data,0.5494782683113757
16,4,9,index,0.4228884437809081
16,4,10,values,0.3243381950712028
16,4,11,csv,0.32058284819821053
16,4,12,table,0.3108898122899311
16,4,13,data frame,0.30319044557386543
16,4,14,frame,0.28779152346858794
16,4,15,series,0.2793369691772318
16,5,1,error,2.311997081252635
16,5,2,following,0.8396476251948107
16,5,3,getting,0.8056779172584038
16,5,4,following error,0.5938990058908212
16,5,5,code,0.4631696850169128
16,5,6,getting error,0.45439419757920774
16,5,7,trying,0.41993835496308524
16,5,8,message,0.3826534037170654
16,5,9,error message,0.3561090709944435
16,5,10,try,0.2734123163999831
16,5,11,following code,0.2543381992246815
16,5,12,wrong,0.23725025270033542
16,5,13,gives,0.23717200495985577
16,5,14,syntax,0.23688170618035573
16,5,15,run,0.21656697504861758
16,6,1,install,1.0536342555369682
16,6,2,installed,0.904710245011528
16,6,3,module,0.832801856340331
16,6,4,import,0.7799093451185136
16,6,5,python,0.6457641985134445
16,6,6,package,0.5712618187608483
16,6,7,pip,0.5543649755116488
16,6,8,version,0.5121035080379023
16,6,9,py,0.462377063779657
16,6,10,windows,0.4618573314380007
16,6,11,packages,0.45422260391682723
16,6,12,installing,0.40585121233568106
16,6,13,path,0.3760721555246267
16,6,14,directory,0.3717599446386644
16,6,15,setup,0.33085886673483966
16,7,1,class,1.8543805496463779
16,7,2,object,1.0078898977588442
16,7,3,method,1.005947255617067
16,7,4,instance,0.5548647535036004
16,7,5,attribute,0.4815629089292666
16,7,6,classes,0.3890754452072443
16,7,7,methods,0.35539294280886363
16,7,8,objects,0.3543048493554333
16,7,9,create,0.26361044830754615
16,7,10,attributes,0.25380343265187366
16,7,11,access,0.25073724309495965
16,7,12,called,0.2414425551115274
16,7,13,type,0.2150488284349428
16,7,14,python class,0.19902321379919438
16,7,15,use,0.1981645430076132
16,8,1,array,1.8618883949719292
16,8,2,numpy,1.3799600413238788
16,8,3,numpy array,0.6806195851041339
16,8,4,arrays,0.5460933964113509
16,8,5,matrix,0.36646993350333257
16,8,6,2d,0.32542231895835483
16,8,7,image,0.2197722896216156
16,8,8,values,0.21763802652482184
16,8,9,elements,0.21617709300082597
16,8,10,numpy arrays,0.19382317194380905
16,8,11,element,0.19363937001212297
16,8,12,2d array,0.1931593863304922
16,8,13,convert,0.16846757059756162
16,8,14,want,0.15694289040864962
16,8,15,shape,0.15358978165951473
16,9,1,string,1.8420509166911314
16,9,2,regex,0.5139208261447713
16,9,3,strings,0.48741082184836065
16,9,4,characters,0.44683555718926377
16,9,5,python,0.3809331516758451
16,9,6,convert,0.2970610052699052
16,9,7,regular,0.2948313615345044
16,9,8,match,0.27988687654516264
16,9,9,expression,0.27888915741211495
16,9,10,character,0.25273362848506514
16,9,11,regular expression,0.22996387689915204
16,9,12,word,0.22982618169367539
16,9,13,split,0.21398448826871974
