K,recon_err,mean_dom_prob,std_dom_prob,frac_ambiguous,topic_size_entropy_norm,num_topics_above_5pct,min_topic_prop,max_topic_prop,mean_overlap_count,max_overlap_count,mean_jaccard
2,139.81443288035692,0.797227700380893,0.16928235235124423,0.0,0.9984464098896088,2,0.4768,0.5232,2.0,2,0.07142857142857142
3,139.5822765330235,0.7246921867285298,0.18688883142838955,0.1178,0.9337153505477069,3,0.1716,0.4673,0.6666666666666666,2,0.023809523809523808
4,139.38517363617237,0.6685212503636493,0.18942432542468468,0.21455,0.9307793652947309,4,0.1332,0.4038,0.6666666666666666,2,0.023399014778325122
5,139.19947777477006,0.6250271250121381,0.18004742580241256,0.28065,0.9626305350830916,5,0.1304,0.33465,0.9,2,0.031773399014778325
6,139.00539190848195,0.6050997070353753,0.18191586916318767,0.3266,0.9517886754295581,6,0.0879,0.3136,1.2666666666666666,4,0.04590683901028727
7,138.85011124967096,0.567890907032472,0.1770058930389911,0.4112,0.9621892687756894,7,0.08055,0.2717,1.0,4,0.036074671542651836
8,138.70562517349194,0.5423017777894905,0.16891571574272748,0.4629,0.9772804836255032,8,0.082,0.22505,0.8214285714285714,4,0.029704764310675636
9,138.5475066654218,0.5354427724679055,0.16847884009477584,0.4797,0.9637869474027811,9,0.0506,0.21815,0.8611111111111112,4,0.031277045644861744
10,138.40318484487176,0.524369163855797,0.17098374231189317,0.50395,0.970821924984243,10,0.05045,0.1888,0.8222222222222222,4,0.02955243989726749
11,138.27052817553886,0.5051810893017447,0.17333881757977665,0.54905,0.9840075039574593,10,0.04915,0.129,0.6363636363636364,4,0.02274621929794344
12,138.1324483110121,0.49628507684183726,0.17445899539800344,0.5702,0.9859009732593446,11,0.04765,0.1225,0.6515151515151515,4,0.023213695627488734
13,138.00209272108464,0.48657119713451313,0.17281512604280577,0.5903,0.9889049555793055,12,0.0458,0.1172,0.5769230769230769,4,0.020428289659058893
14,137.88659434077724,0.47762237777883404,0.1721711356049354,0.6054,0.9876258606544114,12,0.0407,0.10595,0.5384615384615384,3,0.018841311944760224
15,137.75688364804785,0.46951291970788644,0.17082437230178707,0.62365,0.9905691738411766,12,0.04015,0.09715,0.5047619047619047,3,0.01768968123647927
16,137.6528213526516,0.4475415112173596,0.15911682115174977,0.67845,0.9855590875833347,11,0.02975,0.1023,0.4083333333333333,3,0.014226418536763366
17,137.5441057514473,0.4583549613747131,0.17010321315162757,0.64975,0.9909208627764033,13,0.02915,0.0791,0.49264705882352944,3,0.01724339160951737
18,137.4303395330195,0.43251933202853726,0.1567250932162405,0.70805,0.9892716119735215,12,0.026,0.07725,0.4117647058823529,3,0.014345457212259105
19,137.33706583632338,0.408300831308181,0.14848756036002586,0.76345,0.9774246906727585,10,0.0186,0.10415,0.38011695906432746,3,0.013312335756376893
20,137.21867088107956,0.3993937117249726,0.1445283754660891,0.78385,0.9848723869226776,8,0.0265,0.09655,0.34210526315789475,3,0.011953734911992628
