body_length_decile,min_body_html_chars,max_body_html_chars,questions,percent_ever_answered,median_first_response_minutes
1,22,371,60729,92.76951703469513,9.633333333333333
2,371,516,60729,91.49994236690873,10.683333333333334
3,516,651,60728,91.172111711237,12.433333333333334
4,651,794,60728,90.51179027796074,14.283333333333333
5,794,958,60728,89.96344355157423,16.666666666666668
6,958,1161,60728,88.94249769463839,20.05
7,1161,1427,60728,87.99071268607561,25.45
8,1427,1828,60728,87.14102226320642,30.9
9,1828,2621,60728,85.30167303385589,42.81666666666667
10,2621,48242,60728,82.65874061388486,69.65
