question_id,cluster
28086865,0
39663117,2
37259168,0
22412231,1
25090735,3
25279059,1
22719224,3
7549662,2
28233633,3
40091963,0
1366274,1
1751959,1
11596423,3
23042962,0
4638806,2
4585692,1
39397720,1
35880247,1
32969757,3
2323080,3
32535816,0
20383151,1
3610071,3
13596408,1
39970303,1
38164587,1
19094441,2
26077231,3
39066567,2
27462337,1
22865573,3
22739592,2
23785155,1
39231607,1
39518350,1
25571861,2
31614866,0
15745418,3
15900883,3
32023183,1
39549494,1
38895185,3
35792905,1
17717282,3
11040626,0
36747114,3
3695202,2
29552575,2
21058514,2
33769143,0
6239042,3
13144158,1
34278866,0
26080958,1
5834054,0
25705544,0
27542341,0
38316294,2
20110006,2
33127008,0
18596189,0
2483840,1
20803932,3
4848965,2
27056575,0
8701419,0
4690155,1
26673267,3
32463870,0
36908926,0
19472499,3
38780122,1
37015876,1
12030085,1
29859761,0
33753832,1
4676973,2
39111903,2
27177212,3
22108306,0
38792077,3
32589767,2
3402694,1
35942081,1
26753268,2
26487648,1
19338748,3
19111047,1
13980656,0
30849351,0
33655933,3
13163895,3
13356680,0
16991754,1
18380766,0
5522524,1
39521924,3
36795424,2
19665125,0
33792478,2
4054254,1
25109001,0
2631311,2
843277,3
38879470,0
32906669,1
23873048,0
31350589,1
37730751,0
11816236,1
11376381,2
36053881,0
13336798,1
20298058,1
3068408,3
21465348,0
37066402,3
34394344,1
36447378,1
5075335,1
36507334,3
25709818,2
35046142,0
38591938,0
37390827,1
32683412,0
34880137,0
27434689,0
34708972,3
7765113,3
37864425,0
6107905,1
39978375,0
4968210,3
25462305,0
35641116,0
36816386,0
34683400,2
36820171,1
26005274,0
38477881,0
10639333,0
25387745,2
40113343,0
29080279,1
26615756,3
6655724,3
38876562,2
33592626,1
29144956,2
23970227,3
5531249,0
35224978,1
6650906,1
24037441,2
12311196,1
1056675,1
24020720,0
14319771,1
5289680,3
19919987,0
22127346,3
22983523,0
10587826,3
29581718,2
21897420,1
24419845,1
28624489,3
1693945,0
17124199,1
21397455,3
16494824,3
21436163,1
18896682,1
17621531,1
36534795,2
34381588,3
31538738,3
36813851,2
17173743,0
17327389,2
39341571,1
18968660,2
12485148,1
32705146,0
9584565,0
39331369,3
16059073,1
31253866,1
24743446,1
2465675,3
4713589,1
19216046,0
13369009,2
37541248,1
36518512,3
29408529,3
23617898,1
40006924,2
39394936,3
34352419,0
22731782,0
19484161,3
18352815,3
4255854,3
4717238,1
38704586,1
33572928,0
35846053,0
38343972,2
39396222,3
3842927,2
15966537,2
23154821,0
23580176,1
3489451,2
34052977,0
8358781,1
5566160,0
9952655,3
5258402,1
35822563,3
11601629,0
7184454,1
23779995,3
18767257,1
10292057,1
9193773,1
15194061,0
33452601,0
13664861,2
29922373,0
28410763,1
35006204,0
11017984,2
10459673,0
36854690,3
20129259,1
21434728,2
18667053,3
39448604,0
9852226,1
34452680,3
18821795,1
10903748,2
25375057,0
32723802,0
16044668,3
26770121,1
15661231,0
21403044,3
18946286,1
35625488,1
36301179,1
23963369,2
21047921,0
28677597,2
16597396,1
19430190,0
28085788,2
16664360,3
8973238,1
38343213,3
16329869,0
14621310,3
27524817,0
29029077,1
8573464,1
28930706,3
18486244,0
28384690,1
3905548,1
18689026,0
36689898,3
5513615,0
14902299,3
38579256,0
6871686,2
10424987,0
33492593,2
27440989,1
2193009,3
31419145,1
30025502,0
15265319,3
38289432,3
36697521,0
38038700,0
35440222,1
31400143,0
9014056,0
27118886,1
40027392,2
32078763,0
25064271,3
19833315,3
17202946,2
1258199,0
21705101,0
29832659,2
16816379,0
20202639,3
822195,0
37467812,2
39847007,1
11268039,3
29621334,0
17459700,3
3165213,0
31473998,1
22301531,0
22787091,2
25903242,0
30699806,2
34071495,2
39128412,1
37749111,3
14734492,3
13167852,0
39721813,3
30444863,3
28228720,0
30016119,2
20109487,2
35461213,0
17528842,2
34133667,2
13446989,1
16435697,2
12612229,0
17412087,1
35505498,1
34422238,0
27810898,1
17229045,3
22254151,0
25319851,2
20966102,0
38117824,0
17384485,1
8320106,0
39151443,0
992136,1
26984555,3
24422724,1
19693782,2
12139428,3
24286544,0
14863576,0
26214245,3
25379098,3
9526873,1
7385374,3
928806,3
3861148,2
39533524,2
31946790,3
32689758,2
22946117,3
15555589,3
3134850,3
10831075,1
20629113,2
28917968,3
28999332,1
21739518,1
18241359,2
13010551,0
11651188,0
9100431,1
34657480,1
15898829,3
13729394,1
6603448,0
4293408,0
28862412,0
35590796,2
21735827,0
23111625,3
13093806,0
33426634,3
30032701,0
15622082,1
17819311,2
7381998,2
36169342,0
22120887,0
11850762,3
25726289,2
13792798,2
31657423,0
19655688,1
23409982,0
23704826,0
8535913,0
24540431,2
23021976,0
7199405,3
36447597,3
22386064,2
32660596,1
34662357,0
37166891,3
22411463,1
8953035,0
1905396,3
27208757,1
9645924,1
39509080,2
11366294,3
36385992,1
7969552,0
29418117,1
9486345,1
10773372,3
13936169,1
33680750,2
29471617,2
33971496,3
35585362,3
32177449,3
11388632,3
1111173,3
30036443,3
17320133,0
12853628,3
23159019,0
1956249,3
35722096,1
18799033,1
6438260,1
19782309,2
13018266,3
34336273,0
12851374,1
15821830,0
17060930,0
28267756,0
38778676,1
32358269,0
21886526,3
14413661,2
4113014,3
26897759,0
38618888,0
3442920,1
23800972,1
31063601,3
28705834,2
27607638,0
6931039,0
35761561,0
28288395,1
32874900,0
38071436,2
27219759,0
21158731,2
26361113,3
27034416,0
22253695,3
11622692,2
16837642,1
3894923,0
17438943,3
37732552,1
23809636,3
39143465,1
10866990,3
17197406,3
2470121,1
34005479,2
32079691,0
28477877,0
10497342,3
22534552,1
14922533,1
35593961,1
32141623,1
35583510,3
12170262,0
28022998,0
25775965,3
22891586,3
7973002,1
11798323,3
35330733,1
14429724,1
18598238,2
14195544,3
17005775,1
33325603,3
16787725,0
38960196,0
39829846,0
26278348,1
6203653,1
37865763,0
36491375,0
23833324,1
30585679,2
34462682,1
18456841,3
7070693,1
16387597,0
23295868,3
21045437,1
32334346,0
12810499,2
24109713,1
23891486,1
36362175,0
29701951,1
5315873,0
40140412,1
22436864,1
14236633,3
38881888,2
38807067,1
22848533,1
23711762,3
5164307,3
3898572,1
4360636,1
31402734,2
23872285,0
1431936,1
39407747,1
27883769,2
4888440,3
37022787,2
24624809,1
19610240,3
19617959,1
34714863,3
818942,1
29244434,3
33333980,3
1229414,0
23506306,0
22603750,1
38723055,1
39836449,3
34411047,1
33979709,0
34525893,0
12328678,1
31111493,1
38367206,3
22665833,0
8779497,1
28722677,0
38384829,1
13824973,0
9770133,2
29566846,2
14579231,1
33658216,0
22561495,0
5918633,1
34383951,1
27575354,2
11228153,1
3407414,0
16813088,0
2038247,1
33713149,0
5445462,1
31872863,3
3486372,3
17492923,0
24058127,1
22787826,3
24404729,2
7768633,3
8930370,2
34584484,0
17370820,0
28658918,2
25285665,3
14588682,2
23205147,2
11897028,1
28078327,2
26698401,2
33720318,1
553019,3
40121221,1
31960214,2
24981505,0
24607358,1
37302934,3
23839662,0
29901471,0
24834926,3
24087593,0
36258215,0
28119877,0
3730616,1
32991977,2
2828962,1
32040304,2
26805232,3
24056286,0
21039589,1
15807611,3
9870182,1
21922382,2
16500443,1
22156574,1
7829007,3
33751388,0
7629288,3
22133696,1
32121236,2
2828059,2
2041978,1
22251169,3
15258017,1
26187054,0
14258702,3
31949339,3
38679516,0
27194710,2
29847082,2
27959962,2
25914854,1
19261392,2
25490432,3
21640880,1
25455067,0
27790357,2
8449454,0
19169352,0
29743523,2
33657182,0
4295799,0
39084519,2
25720742,3
35540265,3
15947517,2
10475448,1
22878113,2
16022579,3
35984404,3
26876438,1
10018679,0
34257693,1
31795092,0
9445835,0
19527097,1
14658945,0
762764,3
24591917,0
38237598,1
1842389,3
23618728,1
29545601,2
31307014,2
38447314,0
14621224,1
2415842,3
20502312,3
21113773,0
31487381,0
16700779,0
14533936,3
32485542,1
32813162,2
30834395,3
33405490,3
28882496,3
7556499,2
32740320,1
11481618,0
24376574,2
38219558,0
28520450,1
36131003,3
8299270,1
23234436,3
37830512,2
5403138,0
37662869,1
3586295,3
35258750,0
33713501,1
24057239,1
18478240,2
35696980,3
16022245,0
2524998,0
35332978,2
16981303,0
34662173,2
37471079,0
6162823,0
36163949,3
15378537,3
38708729,3
16110968,3
27772934,0
21784116,1
11824137,3
22899536,0
34322896,3
20444155,0
15541418,2
39776675,3
37019240,2
12559778,1
12658224,3
30380551,2
39214277,3
29973598,1
26642433,0
36152287,0
4098197,3
36894878,0
11059203,3
39792641,3
1364583,2
6912867,3
12289861,3
2743070,3
19715854,2
26352833,1
15638468,3
18117748,2
18324753,3
26762053,3
18915481,2
21285022,3
1720743,1
37579590,0
6322158,1
36091759,1
36764709,3
8590813,0
8904271,0
13209539,0
32877873,0
1325568,1
35287254,1
34957004,0
34064104,2
38808452,3
14006028,3
26683509,0
34755256,1
20136274,1
13111025,2
18838328,0
27284196,1
27990497,2
18581174,1
33929929,2
37289559,1
18883222,2
19441031,3
30293680,3
29300175,1
550804,1
19228711,0
38361224,0
4476354,1
19961071,1
39408038,0
25663653,1
23378498,3
33442872,1
5772148,0
29641616,2
17039151,2
32239077,0
17088224,3
10011302,2
34576409,1
8934530,3
5234944,1
19545979,1
15881439,3
30746167,2
25429219,3
27827503,1
16820635,0
8674426,3
20602488,0
35825289,3
36034926,1
28594000,1
31577926,3
33303952,1
21366021,1
25028105,3
27973941,3
30492313,2
6335906,3
14779216,3
10599347,3
19915264,1
20341650,1
22244837,1
36612981,3
29997186,0
4782028,0
36068943,0
34856717,0
7389109,0
29591313,0
10860774,3
25543741,1
35997393,0
35871625,0
32731554,2
32821143,0
16705670,3
28128514,1
17887503,3
35692719,3
21282039,1
38528332,0
36725130,2
35998123,3
4065085,3
14355642,1
33067867,2
26741204,0
8158536,1
39580929,3
26711396,2
26936345,0
26295092,1
14924795,1
23355661,1
17398040,1
35423366,2
8764895,1
20600527,2
14609467,3
34574351,2
21309172,2
21713148,1
28522671,0
13440956,1
34216141,0
29363697,1
31806428,1
35407893,3
21370722,1
36923265,1
37242036,3
35628640,3
11387439,2
11580789,3
9937781,0
36425234,2
23103370,2
13703295,3
29796140,0
13711187,3
31468597,0
26949091,0
18064914,2
32033557,2
38877102,2
17220997,3
37661073,0
11280464,1
34315152,1
11298909,2
29489717,1
14898089,1
26321618,0
39029632,2
22557758,1
6165819,2
5891359,1
30264461,1
23420021,1
5812318,0
902039,1
14532634,3
21392956,0
21699022,3
20262687,0
14184623,0
10110295,1
39366291,0
18245975,2
22876655,0
25856475,1
21175922,1
8063012,3
36738309,1
31388828,1
39626338,1
30405420,0
30067180,1
9914393,1
15442717,3
1181233,3
29775539,0
6649990,1
29794853,0
14850960,0
33665542,2
26527493,1
28759361,2
36386761,1
144218,2
33335937,1
12894154,3
18131839,3
2591580,1
35356198,2
26106833,1
22331396,1
29590189,2
38906797,3
23935029,1
26822873,1
31348238,3
1554673,1
17252024,2
32325075,1
10368153,0
37432161,0
30636248,0
21153407,1
39355483,0
22135108,0
22179718,0
1672113,1
32705280,3
23210644,2
14199168,0
29972991,2
31878409,1
26166248,3
19604825,0
19544545,0
26441236,1
21528899,2
18692818,3
25407738,3
31644677,0
27651993,3
12182744,2
33914593,1
30754926,0
18428457,3
36210157,0
34706485,0
36163147,3
28951256,3
18472826,3
10818445,3
13143218,1
26887558,1
20456759,1
30354380,3
33314704,0
4106332,1
39450903,2
37659066,3
18615022,3
36014646,3
19376994,3
27000754,3
37454726,3
13754880,0
34005062,3
39976348,0
9515559,1
26188763,3
39050676,0
19132927,2
23531110,1
24785657,3
18502197,0
32868911,3
22263679,3
5415199,3
19414060,1
2680619,3
22816409,0
27981595,3
31436023,2
31605888,3
38903443,1
26440574,1
13179917,3
27715429,1
31911465,3
36789493,1
21367320,3
26002936,1
28082017,1
29467807,1
7680343,1
12945387,2
30270899,2
27999685,1
22488693,3
35685146,0
30331943,1
37232804,1
19012948,3
22716035,3
11959434,1
37644773,1
31655788,0
18166360,0
4698755,3
38164191,0
28599012,0
31693683,1
11462235,0
28634422,2
19791208,3
36967011,0
13703724,3
14633290,3
23055860,3
21848033,1
30202445,1
37058194,3
29836948,0
12868559,1
23199042,0
33804118,2
14398868,2
37530500,3
28975467,3
18312886,1
35228991,1
14828945,0
4163740,3
33597066,0
37310695,2
21649113,1
29597831,0
34818228,0
36289259,2
35922675,1
32855029,0
19670697,1
8979031,2
1151207,1
38358521,1
24062013,1
21310797,1
40063530,1
7074051,0
31353423,1
30998543,1
36607953,2
33984132,3
5972506,2
11636162,0
35135979,1
16575250,0
21189294,0
27851087,2
31501806,0
26941785,0
19295832,1
4922623,3
22752467,1
26328818,1
17858553,3
38876429,2
29070176,3
23343709,0
26224484,3
9270931,0
33335291,0
32894378,0
27885855,1
22869719,3
22522330,1
28614911,1
34936193,0
34447789,0
32422279,2
34897280,3
32838397,3
10455538,0
32170913,1
23759873,1
7274521,3
7881110,0
27789298,2
30289289,3
21542301,0
5903501,1
25469869,1
22699808,3
3651339,3
32427207,1
36504073,2
28178477,0
37550934,0
36066054,0
4513937,1
37493102,3
23716734,3
29965571,1
16883360,0
23006023,1
25839183,1
28646271,1
24509307,1
9375878,1
20098319,1
34525277,3
31231115,2
39346549,3
4131546,3
28521142,1
27434153,1
20391489,1
35550913,0
25492346,2
20441762,3
31449291,2
26923433,3
27000546,0
32376579,1
27289344,3
29704164,0
21607965,0
39297328,3
34687818,0
20462833,0
39843230,1
16500798,3
12065019,0
35179953,2
32231896,1
4785918,1
32975638,3
29222034,1
23311483,3
19121894,1
34601505,0
12880324,0
35353771,1
18157259,0
26921854,0
6854662,1
37913101,3
40038519,1
16121686,1
37111118,3
27195594,1
37521814,3
6895205,3
27414913,2
6849582,1
37685459,1
5046845,2
31268914,0
21512572,3
21721545,3
17571349,0
22676327,1
22488553,2
1490429,1
27391292,2
19646627,0
16678500,1
35944841,2
23140799,3
31088263,0
29785941,1
28399233,3
26246233,1
9174234,0
6466628,3
30703988,1
27237072,3
23160476,2
23522539,0
34180827,0
27915151,0
39314024,3
38988705,1
900420,0
27587108,1
38685620,1
37560990,1
27957831,1
36892829,1
6713463,0
5180521,2
35374933,1
23288447,3
4226824,1
3247183,3
32905668,1
9312082,0
20018092,1
35141092,1
39370510,3
31192752,2
36582696,2
34015615,1
39018998,1
34048210,0
2900362,3
1999412,1
1080920,3
2863406,3
18439316,2
20887555,1
15398865,3
15169015,1
28814603,0
35630020,1
29545547,3
11380380,3
23640624,1
39491918,1
28015865,3
34427715,2
28256804,3
5068100,3
36802811,1
36661682,2
30610885,2
39987071,2
37956517,1
35795089,1
16746685,0
26954694,3
30668106,3
36164170,1
28277137,0
14888843,1
32872828,2
6681243,1
4735732,0
32852208,0
28513480,0
17944235,0
29096898,0
35351203,0
20638999,1
24764431,1
37200386,0
10773010,2
20012919,0
37646631,0
38013618,3
10044903,1
9283606,3
33384112,2
27038061,1
2102294,3
37231619,1
4717751,3
29061751,1
19002235,2
36655901,0
12888655,1
3746672,1
25317270,1
31108850,1
19256155,3
35324657,3
35778136,2
5551286,2
38073332,0
2102216,2
19236833,0
4560554,2
15761528,2
29690535,0
37901186,2
9484232,1
34117072,0
4919681,0
1489041,3
23641871,3
35032792,0
35261895,2
11216894,1
38895856,0
19804129,3
24811286,3
39901860,1
31924543,3
39663469,0
37045399,1
20710532,1
11251257,2
32350505,2
15374291,2
28267870,1
19728908,2
22466821,1
31984914,1
39086029,2
21586655,1
38622500,2
11715227,1
32577351,1
8957429,0
17309453,0
21527770,2
20365878,0
18240549,3
36286333,0
34674558,2
25927578,3
22041231,1
38269658,1
31385175,1
39964995,2
8820451,1
10526847,3
4695337,2
5474624,2
33944914,2
33795241,0
12391092,1
27291870,0
22796024,0
34367353,3
60680,3
31917430,2
24330068,3
13077939,0
38509208,3
33060192,2
9917334,0
5097005,1
25705707,1
29171937,0
10554276,3
20329927,2
37355662,1
32217242,0
30751547,2
30838820,1
39406836,1
1071277,3
39003251,3
30107606,0
2345331,1
8223137,1
4922926,1
13900946,0
11124121,3
2553672,3
21731133,1
37266221,1
28640971,1
5824859,1
11726866,2
9041958,2
15724672,1
29687761,3
34197936,2
5452931,1
10095299,3
37837311,1
3068839,1
39313273,1
15409132,3
25277433,2
18135547,0
38385558,1
21478132,2
16451509,1
34059399,2
30634243,3
35087630,2
14283086,3
2405936,3
21147095,0
10121485,3
17596250,3
35661474,0
38686206,3
15555968,0
4010507,3
23451359,1
3463698,3
9118322,1
27518446,0
37783991,3
11005233,0
1423214,1
37681840,1
24727929,3
2397324,3
21188579,0
32554641,1
31236247,1
7258245,1
39121709,0
30897250,2
37773037,3
1049320,3
13504424,0
29847535,1
24621792,0
1042451,3
28948385,3
36265049,0
24947418,0
31264735,1
20037426,3
15272637,3
40024017,3
39174657,3
35919242,3
19550326,0
33476755,0
38788066,3
28354550,0
25619945,1
35570319,3
23894138,3
4877924,0
28630249,0
29928457,2
38648328,1
18438934,0
38790368,0
33807424,1
12448426,3
23834765,0
24801534,3
10942236,1
26853262,1
22811382,0
5409308,1
23808918,3
15635972,1
36409596,2
24428091,0
29406767,0
352079,3
14469685,1
34789938,0
30759381,3
24370721,3
37677496,2
12062715,0
27302424,1
13658930,1
33928553,0
11606091,3
24099620,2
30595908,3
16491594,0
8288133,3
35360816,3
8695422,0
23047450,0
39400957,0
34554347,2
18858676,1
9428419,3
1098118,0
7279355,3
25299624,2
28679154,1
12326117,2
20302196,0
18844894,3
16821674,1
34367078,1
4924273,0
28125565,0
12108913,3
1824735,2
23144164,3
36527407,0
32802334,0
18881741,2
7834907,3
26745536,1
27042627,1
17978073,0
32213251,0
7276232,1
34063514,3
15841024,1
39652954,3
5407647,3
25917528,1
23640588,0
19216630,0
2733660,3
5127991,2
39837732,0
7660231,3
22043658,0
18905392,1
32580489,0
37768058,2
39323817,1
32394655,3
34550005,0
8027065,1
6889640,1
33135942,3
3265232,1
3448505,1
38309025,0
23529312,1
20112500,2
18653004,1
24809425,1
19315030,1
21047524,0
27662072,0
36870792,2
14225513,1
28206600,0
20741435,3
32974691,0
37716326,0
13531247,0
31192256,0
32239228,3
33027687,3
21542753,3
5866475,1
16976405,2
34011154,0
28622414,3
37413144,1
33245685,0
863234,1
23221747,1
20037687,1
33371664,3
18695990,1
39131755,0
10068419,3
34344025,0
39372150,1
35282826,3
25435656,1
24366775,3
16728695,0
34481205,0
28066146,3
6134933,1
25839070,3
11056821,1
17875037,0
21703142,1
6978331,3
37191442,3
2378110,1
34788422,1
35407514,1
11832824,3
26989736,0
38860185,1
15110685,0
27100278,0
37471934,3
35101847,0
29839397,0
30064894,2
30681997,2
791098,1
17437025,0
27558559,2
34543830,1
10446440,1
9567326,1
26598064,3
19889821,1
32879491,0
37788567,3
12406827,1
28794015,3
26914900,0
24650612,0
5012560,3
33959632,1
39971597,2
19373759,0
5550145,0
13936170,0
22801307,3
5882006,0
18353203,2
31518664,1
38600982,1
19648648,0
9384918,1
22489425,1
29463075,2
33496350,1
33772547,1
31397170,3
29322753,1
7900488,3
22098390,3
33190668,3
36972604,0
35464931,2
22367854,0
34451403,0
19507010,0
24024510,2
35736598,1
33242629,1
33761087,2
36574494,1
23945949,1
10428399,3
27930732,0
35006623,3
31467421,0
19922370,3
92928,1
24557707,1
26326663,3
24617100,3
20990538,2
33641756,0
26933761,1
22976596,3
5756427,2
3332494,3
36388632,3
26797025,2
17968100,1
34157247,1
34071433,0
33071152,2
37379492,0
7339685,2
14968560,0
26757412,2
37150065,2
37851443,0
25468014,3
19513761,1
14292349,0
931699,3
38983743,3
33694940,2
7065761,3
8497428,2
17584973,3
25779274,0
12838111,3
26620076,2
28673564,3
32970960,0
13168374,3
38405158,1
21071264,0
34463263,0
25585151,3
35342769,2
34896705,1
35981030,3
36546998,3
19250247,0
