K,topic,rank,term,weight
14,0,1,python,1.8491550283723772
14,0,2,script,1.0797326060745527
14,0,3,using,0.9715731962473683
14,0,4,run,0.9366991472505615
14,0,5,module,0.8242627422374321
14,0,6,use,0.8155528681845898
14,0,7,install,0.8029599020840761
14,0,8,command,0.7327837832393823
14,0,9,windows,0.6650640922433698
14,0,10,running,0.6203001601199598
14,0,11,python script,0.6159886903649038
14,0,12,installed,0.5858278707127526
14,0,13,like,0.5849966745567082
14,0,14,way,0.5768830456547088
14,0,15,work,0.5126786553948289
14,1,1,py line,0.9012035856975845
14,1,2,lib,0.8733492548503713
14,1,3,py,0.7863499906865163
14,1,4,packages,0.7558863392282573
14,1,5,line,0.7414694358634231
14,1,6,python2,0.6020701515599349
14,1,7,site packages,0.5896571632453786
14,1,8,file,0.5771894348032892
14,1,9,lib python2,0.574091060925091
14,1,10,site,0.5253454006041841
14,1,11,usr,0.4913260207417732
14,1,12,traceback,0.4483593067824335
14,1,13,traceback recent,0.42177122660758426
14,1,14,recent,0.42114169310887417
14,1,15,file usr,0.4184392008049857
14,2,1,models,1.3377941014797885
14,2,2,model,1.0662277688621973
14,2,3,models model,0.6605201615528774
14,2,4,charfield,0.6372446153269582
14,2,5,models charfield,0.6224015264552326
14,2,6,max_length,0.6211550457530433
14,2,7,class,0.5642102694468673
14,2,8,charfield max_length,0.5627165447819341
14,2,9,foreignkey,0.4924583865044172
14,2,10,models foreignkey,0.45350276194966066
14,2,11,true,0.44305068838433936
14,2,12,django,0.4369855429403705
14,2,13,field,0.3570894095159305
14,2,14,blank,0.34227557860287233
14,2,15,objects,0.3375256129503401
14,3,1,self,1.6615401819421525
14,3,2,class,0.9752978277865298
14,3,3,def,0.8603192218277419
14,3,4,__init__,0.6918667291313438
14,3,5,__init__ self,0.6655469831723101
14,3,6,def __init__,0.6089067546004046
14,3,7,self self,0.5345016342267002
14,3,8,object,0.47005852013067695
14,3,9,return,0.3796177298190549
14,3,10,method,0.2892811591957968
14,3,11,object def,0.23821521720741468
14,3,12,instance,0.23289746839075237
14,3,13,self return,0.21792652355494513
14,3,14,super,0.21615824576201675
14,3,15,return self,0.21028526974552217
14,4,1,dataframe,1.330851202731249
14,4,2,pandas,1.3046264228708264
14,4,3,df,1.1018389039704428
14,4,4,pd,0.8507714679461466
14,4,5,column,0.8288609273084019
14,4,6,columns,0.7969871786804458
14,4,7,00,0.6368628411519386
14,4,8,data,0.5370736271805886
14,4,9,index,0.5084499553326227
14,4,10,12,0.5012150795107724
14,4,11,10,0.4994990183829155
14,4,12,01,0.4954842597380238
14,4,13,row,0.46682825117832444
14,4,14,date,0.45974631545769556
14,4,15,pandas dataframe,0.4525572529809076
14,5,1,np,1.1318052738997313
14,5,2,array,1.0798603016127408
14,5,3,numpy,0.9885679084213865
14,5,4,plt,0.6752126946378545
14,5,5,plot,0.598545837230159
14,5,6,matplotlib,0.5803490480772816
14,5,7,import numpy,0.3901636677827371
14,5,8,numpy np,0.36411183335689234
14,5,9,import,0.35715156745379517
14,5,10,np array,0.34957662837563214
14,5,11,numpy array,0.3271846972751316
14,5,12,data,0.30848790402784126
14,5,13,axis,0.29385405194846825
14,5,14,arrays,0.28767219985189424
14,5,15,shape,0.2850081914919533
14,6,1,url,1.3447205171177914
14,6,2,page,0.558346330339672
14,6,3,beautifulsoup,0.539040159800627
14,6,4,requests,0.5285729960508463
14,6,5,soup,0.49894423606598104
14,6,6,html,0.46456298441822513
14,6,7,text,0.44478482840500766
14,6,8,urllib2,0.44081461683025375
14,6,9,response,0.43201287473474737
14,6,10,url url,0.42318878427671236
14,6,11,content,0.3860222941757154
14,6,12,link,0.33693717878136864
14,6,13,urllib,0.3368969969970813
14,6,14,urlopen,0.3349294596606373
14,6,15,json,0.31108738535053176
14,7,1,request,1.1525991892962963
14,7,2,form,1.0748713890923414
14,7,3,post,0.8529203814805864
14,7,4,html,0.6018506276485669
14,7,5,forms,0.5532209459784012
14,7,6,return,0.509055051771604
14,7,7,user,0.4731457836634364
14,7,8,request post,0.40936632179087956
14,7,9,view,0.3839431710769639
14,7,10,views,0.3199107574262644
14,7,11,method,0.30193006839441283
14,7,12,def,0.29545895647194365
14,7,13,render,0.2945586157294658
14,7,14,username,0.2885998158472114
14,7,15,request method,0.28715596913976527
14,8,1,file,1.4938450447731497
14,8,2,open,0.8641095751644695
14,8,3,files,0.6856420581417697
14,8,4,txt,0.6461171239512106
14,8,5,os,0.6278246957514069
14,8,6,line,0.5959777924870333
14,8,7,csv,0.5844226061012537
14,8,8,path,0.5163747468418475
14,8,9,read,0.5029510774309355
14,8,10,write,0.4818489342161803
14,8,11,filename,0.3868887504719173
14,8,12,text,0.3695324933841392
14,8,13,os path,0.35795063792729065
