K,recon_err,mean_dom_prob,std_dom_prob,frac_ambiguous,topic_size_entropy_norm,num_topics_above_5pct,min_topic_prop,max_topic_prop,mean_overlap_count,max_overlap_count,mean_jaccard,time_seconds
2,139.79371288004745,0.8493525445428893,0.16331542411163932,0.0,0.7426280537053322,2,0.2106,0.7894,1.0,1,0.034482758620689655,0.6077334880828857
3,139.4772053973319,0.7543601461711753,0.18662362384619072,0.088,0.8663134399562503,3,0.189,0.598,0.6666666666666666,2,0.023809523809523808,0.6252198219299316
4,139.23193381913035,0.715838189453074,0.1938582691368209,0.1512,0.8503423196356245,4,0.1325,0.5488,1.1666666666666667,3,0.04191753329684364,0.7174749374389648
5,139.00184260768043,0.6712665237134386,0.17775064054700324,0.1894,0.8901631737054325,5,0.1111,0.45925,0.4,1,0.013793103448275862,1.155832052230835
6,138.82091491940253,0.6469636445293514,0.18068621495107393,0.242,0.8904635306671952,6,0.0995,0.43145,0.4666666666666667,2,0.016256157635467984,1.1253340244293213
7,138.62780866475023,0.6282505580844224,0.18628566774785407,0.2916,0.9135856094652902,7,0.07995,0.34875,0.47619047619047616,2,0.01665493783720385,7.010306358337402
8,138.45762042658995,0.6008946888749047,0.19118795941918018,0.35505,0.9430971682165216,8,0.0583,0.26125,0.42857142857142855,2,0.014866291344123858,5.0039589405059814
9,138.3049742313908,0.5724381021977637,0.18423535078701828,0.4064,0.9529500997046445,9,0.05255,0.24385,0.4722222222222222,2,0.0166256157635468,3.7193984985351562
10,138.17172398172596,0.5469047282000687,0.181177246152063,0.45785,0.9657295449366591,10,0.0514,0.2101,0.35555555555555557,3,0.0125950252387034,6.8944103717803955
11,138.04615398926578,0.5355175491373073,0.17887697278218298,0.4803,0.9628808307719136,10,0.04635,0.20105,0.3090909090909091,3,0.010931979897497139,7.4892473220825195
12,137.9252766743877,0.526646053492352,0.17971400418757538,0.5012,0.9654693704471837,10,0.04015,0.1835,0.2878787878787879,3,0.010154915327329123,6.341542482376099
13,137.8081830253145,0.5198266591274232,0.17838363018520698,0.5148,0.9620086715178319,11,0.0315,0.1802,0.32051282051282054,3,0.011276718173269898,9.42308521270752
14,137.70830549127717,0.5040867913754771,0.179521156597504,0.55095,0.9714969200713167,10,0.0322,0.13545,0.27472527472527475,3,0.009722898885460463,22.79427671432495
15,137.5526111390158,0.5034478307309941,0.1759389732342934,0.552,0.9625244931446058,10,0.03325,0.1591,0.2571428571428571,3,0.009010347433992755,24.48103952407837
16,137.45304889386563,0.49146625496098134,0.1764264504242705,0.5783,0.9669185104444078,8,0.0324,0.1247,0.225,3,0.007947910965152344,20.34160304069519
17,137.33763292893502,0.482293807121466,0.17586938283006476,0.5968,0.9774097234098028,9,0.03275,0.09695,0.22794117647058823,3,0.00802504910009981,24.272034883499146
18,137.22250559880737,0.4786055283826311,0.17051805880580478,0.6031,0.9782483076173827,9,0.03005,0.0973,0.1895424836601307,2,0.0066003412859396635,12.16506814956665
19,137.12197306412773,0.47447474986136495,0.17509741813196272,0.61105,0.9753456951980637,9,0.0249,0.0924,0.1871345029239766,2,0.006539336847866792,4.37209939956665
20,137.006556692486,0.46744702547768885,0.16936528857506408,0.62735,0.9794373735803608,10,0.0235,0.0879,0.1736842105263158,2,0.006015037593984962,14.76056957244873
