K,topic,rank,term,weight
12,0,1,code,1.5868022773916861
12,0,2,work,0.8230419936615214
12,0,3,program,0.790398997425051
12,0,4,python,0.7869422038092064
12,0,5,problem,0.6788166051882573
12,0,6,know,0.6749371525767669
12,0,7,ve,0.670152198781475
12,0,8,just,0.6358100164223235
12,0,9,make,0.6209006741001429
12,0,10,help,0.6070416673977366
12,0,11,don,0.5798649989269025
12,0,12,does,0.5776263059826374
12,0,13,doesn,0.5732642572581098
12,0,14,time,0.5421683414100323
12,0,15,loop,0.5406584919604281
12,1,1,list,2.633251131492999
12,1,2,lists,0.7916291342176706
12,1,3,dictionary,0.7870446199922787
12,1,4,values,0.5246806030673
12,1,5,value,0.48052066601482335
12,1,6,element,0.44489294615658287
12,1,7,elements,0.4272937942492681
12,1,8,key,0.3864098416868749
12,1,9,want,0.3768756794062095
12,1,10,like,0.3574520894089437
12,1,11,items,0.3279781636034463
12,1,12,item,0.29599362455627076
12,1,13,keys,0.29124469452975377
12,1,14,loop,0.27766586365602486
12,1,15,python list,0.2772612769012399
12,2,1,django,1.7046353365743732
12,2,2,py,0.7491404802322571
12,2,3,model,0.7132165122441485
12,2,4,form,0.5411750502863348
12,2,5,template,0.47595289105589816
12,2,6,models,0.4649176855949019
12,2,7,field,0.44745549900378806
12,2,8,view,0.4210678457182308
12,2,9,views,0.40411231889438565
12,2,10,user,0.3992191902585912
12,2,11,html,0.3250791476417046
12,2,12,database,0.31059585830438086
12,2,13,admin,0.29737549136059666
12,2,14,views py,0.28334100366655274
12,2,15,page,0.27701453646993496
12,3,1,file,2.2756561485610027
12,3,2,files,0.7726404040772649
12,3,3,text,0.7211633390270675
12,3,4,csv,0.5541645561147674
12,3,5,text file,0.550332050429819
12,3,6,read,0.462474659161144
12,3,7,line,0.41312377861225785
12,3,8,csv file,0.3695754378366862
12,3,9,txt,0.3576445361219506
12,3,10,write,0.3146642592202508
12,3,11,xml,0.30812886848059085
12,3,12,data,0.29637964054886223
12,3,13,lines,0.28099858625845187
12,3,14,file python,0.2793405342872848
12,3,15,directory,0.24150030331312197
12,4,1,dataframe,1.3617803649185496
12,4,2,pandas,1.3430331128110424
12,4,3,column,1.1503055011087702
12,4,4,columns,0.8425971661335886
12,4,5,data,0.7495248168936599
12,4,6,pandas dataframe,0.5554397254598671
12,4,7,rows,0.5468413192584408
12,4,8,row,0.5374326098586146
12,4,9,values,0.522747257920751
12,4,10,like,0.4845572822668542
12,4,11,index,0.38096919795411377
12,4,12,value,0.346887191857594
12,4,13,table,0.32574864233847445
12,4,14,want,0.29649422107005663
12,4,15,data frame,0.2952070565844062
12,5,1,error,2.1737492628269504
12,5,2,following,0.7872024752303024
12,5,3,getting,0.7701023040961582
12,5,4,code,0.5897596367607577
12,5,5,following error,0.5516820684841732
12,5,6,trying,0.4487852512504687
12,5,7,getting error,0.42728535961024583
12,5,8,message,0.3673931541358479
12,5,9,error message,0.3332512976072992
12,5,10,wrong,0.2703384468270585
12,5,11,try,0.26955573306888014
12,5,12,following code,0.2664499571433276
12,5,13,help,0.25327506994497606
12,5,14,object,0.24920870116900426
12,5,15,attribute,0.23772041091204524
12,6,1,install,0.9955787581304785
12,6,2,installed,0.8557226567122659
12,6,3,module,0.7856855617928751
12,6,4,import,0.7420016314192707
12,6,5,python,0.5876738574000382
12,6,6,package,0.5426694343251066
12,6,7,pip,0.5242741662845489
12,6,8,version,0.4816332016578989
12,6,9,py,0.4554170167984605
12,6,10,windows,0.43846520726086197
12,6,11,packages,0.430658378288721
12,6,12,installing,0.3830905157871522
12,6,13,path,0.3584005614744429
12,6,14,directory,0.35811156623683216
12,6,15,setup,0.3157588863811764
12,7,1,function,1.367760151617245
12,7,2,class,1.2187474374566374
12,7,3,method,0.7172666535229916
12,7,4,object,0.644963753776464
12,7,5,instance,0.38133356479808445
12,7,6,way,0.3672549772228605
12,7,7,functions,0.3596322838358566
12,7,8,return,0.3559706849235983
12,7,9,variable,0.33521352750571093
12,7,10,python,0.3227017962400982
12,7,11,called,0.3086590918993347
12,7,12,like,0.2991471459795009
12,7,13,value,0.27925000719973037
12,7,14,use,0.27749829177148266
12,7,15,classes,0.27646454634766476
12,8,1,array,1.785944136164054
12,8,2,numpy,1.3250266503434447
12,8,3,numpy array,0.6496488813646019
12,8,4,arrays,0.5267466044810905
12,8,5,matrix,0.3600475175688875
12,8,6,2d,0.32140588410123916
12,8,7,values,0.27787238370163997
12,8,8,way,0.22823807672915747
12,8,9,elements,0.20570294765401106
12,8,10,want,0.19233881548909068
12,8,11,2d array,0.18599857385512736
12,8,12,numpy arrays,0.18534091259565447
12,8,13,element,0.1769311403028217
12,8,14,image,0.16131281711443385
12,8,15,data,0.1594824253893306
12,9,1,string,1.7820677918273995
12,9,2,regex,0.5070821978472395
12,9,3,strings,0.47794567492985884
12,9,4,characters,0.4337105491638772
12,9,5,python,0.4081863538738374
12,9,6,regular,0.2936855335949192
12,9,7,convert,0.2898146050468226
12,9,8,match,0.2780733523214253
12,9,9,expression,0.276504971890121
12,9,10,character,0.2449654589235055
12,9,11,like,0.23500020685804474
12,9,12,regular expression,0.2261052880044236
12,9,13,word,0.22282056756079713
12,9,14,split,0.21432619697718602
12,9,15,text,0.2073241169526114
12,10,1,server,0.9703133148683105
12,10,2,using,0.6821670041753428
12,10,3,app,0.6796728694704439
12,10,4,request,0.5965703795290642
12,10,5,api,0.5013799179304205
12,10,6,client,0.4873200712648759
12,10,7,web,0.4856734161014787
12,10,8,data,0.4765497661239978
12,10,9,google,0.45661195721694975
12,10,10,flask,0.4510847451172085
12,10,11,send,0.44319070866751403
12,10,12,page,0.4244568757869423
12,10,13,url,0.4084874304503167
12,10,14,application,0.40400155869301196
12,10,15,requests,0.39902177335695216
12,11,1,script,2.01026461956779
12,11,2,python script,1.1448276080244904
12,11,3,run,0.9440694505782047
12,11,4,command,0.6854312733576094
12,11,5,python,0.6812103918237596
12,11,6,running,0.45093270092800536
12,11,7,command line,0.34333772605339263
12,11,8,shell,0.29696256090424794
12,11,9,line,0.28081023478543515
12,11,10,run script,0.27134365492759316
12,11,11,run python,0.2660269543922005
12,11,12,execute,0.24925318341907343
12,11,13,output,0.2235678202610947
12,11,14,process,0.2195545336902228
12,11,15,scripts,0.21780467488920977
