topic,rank,phrase,weight
0,1,write,3811.099953180104
0,2,work,2577.0999531146213
0,3,find,1736.0999504169938
0,4,build,1118.0999549073624
0,5,return,940.0999559323446
0,6,take,556.0999544955001
0,7,go,527.0999510076015
0,8,extract,497.09995827098874
0,9,fail,434.0999554468764
0,10,update,358.0999544854741
0,11,help,352.09994902609424
0,12,do get,244.28936359497936
0,13,provide,221.09995193367496
0,14,format,217.09995555039984
0,15,python,203.099952272073
1,1,have,9781.32785897687
1,2,make,2174.099951508019
1,3,generate,913.0999522354282
1,4,try,758.915779199569
1,5,contain,678.0999594186276
1,6,run,603.6668507159667
1,7,define,434.1704698746061
1,8,suppose,429.0999598663079
1,9,receive,265.09995215319174
1,10,iterate,246.09995946878246
1,11,say,213.53699142640917
1,12,require,202.14587686692943
1,13,can make,189.29980495857527
1,14,query,167.09995438893898
1,15,wrap,164.09995358011696
2,1,want,4785.099951627975
2,2,have,2083.8379775890267
2,3,convert,1073.0999662163536
2,4,implement,836.0999633029511
2,5,pass,665.099962506292
2,6,try,662.3592302797264
2,7,store,641.0999632793335
2,8,remove,549.0999649244941
2,9,execute,538.099961313033
2,10,download,387.0999558167094
2,11,include,337.0999584533951
2,12,do have,302.0999567934915
2,13,split,255.0999715884894
2,14,process,236.09996509574563
2,15,select,213.0999595759569
3,1,need,3162.099961043147
3,2,call,1378.0999674263912
3,3,add,1232.0999685568697
3,4,be,885.0999657502506
3,5,wonder,650.099964122991
3,6,think,470.0999639395039
3,7,upload,316.09996942047155
3,8,determine,289.0999662335071
3,9,can do,285.09996541457156
3,10,set up,279.0999661423147
3,11,share,203.09996661143333
3,12,stop,171.09996360797578
3,13,count,156.0999682930429
3,14,thread,155.09996815240117
3,15,click,140.09996568558563
4,1,do,2271.0999642999927
4,2,use,1295.5070486432267
4,3,try,878.8262135526577
4,4,import,701.0999690328126
4,5,change,671.099967472741
4,6,can use,538.0999633311585
4,7,display,503.09996790455995
4,8,access,499.0999681733966
4,9,understand,409.09996747840466
4,10,show,390.0999688898484
4,11,connect,363.0999733533616
4,12,not work,344.09996863315075
4,13,ask,315.5651546656824
4,14,calculate,273.0999683709006
4,15,retrieve,267.099966972725
5,1,use,993.808567183156
5,2,start,958.0999766610787
5,3,develop,663.0999781790268
5,4,search,442.09997691462655
5,5,can get,396.0999786883155
5,6,replace,359.0999805295873
5,7,sort,347.09997696652204
5,8,do know,305.0999757173587
5,9,compile,280.0999795076528
5,10,do use,246.09997500589535
5,11,extend,192.0999763824606
5,12,plot,183.0999823465998
5,13,move,182.09997931420017
5,14,build in,142.09997844867758
5,15,throw,140.09997715244393
6,1,follow,1734.0999682314005
6,2,look,1710.0999630361312
6,3,have,1606.1340989855637
6,4,send,761.0999706782394
6,5,check,751.0999704632119
6,6,print,464.09996952781285
6,7,load,383.09996454930706
6,8,exist,317.55520756278906
6,9,compare,302.099971341425
6,10,put,296.09996655009957
6,11,modify,263.0999638373202
6,12,consider,258.09996699810137
6,13,detect,253.0999673477305
6,14,delete,215.09997280060304
6,15,encode,215.09996771773172
7,1,know,1139.0999595531366
7,2,parse,996.0999673630479
7,3,instal,935.0999678028776
7,4,base,745.0999626602179
7,5,try,650.5231923991714
7,6,say,636.6629715446212
7,7,seem,593.0999627495305
7,8,let,439.0999736733964
7,9,save,413.0999674104317
7,10,test,367.099967938788
7,11,keep,336.09996380750835
7,12,log,329.0999680569905
7,13,match,313.0999674742135
7,14,not do work,310.09996567728695
7,15,name,308.09996791053214
8,1,would like,2343.0999604101034
8,2,read,1590.099968815106
8,3,use,1329.2067872646091
8,4,give,1187.0999651165757
8,5,set,781.0999700908326
8,6,learn,701.0999667326355
8,7,see,565.0999654870915
8,8,try,503.34810691084664
8,9,come,466.09996466568106
8,10,handle,435.09996722014364
8,11,open,384.0999709713964
8,12,perform,229.09996901641853
8,13,edit,179.09997098528163
8,14,should use,174.09996838370287
8,15,avoid,162.09996662711518
9,1,use,10033.877530368361
9,2,get,4899.099939382816
9,3,try,3975.627414391041
9,4,create,3318.099941125597
9,5,run,2263.533084524257
9,6,install,530.0999547280277
9,7,draw,224.09995231837715
9,8,insert,200.52652818470233
9,9,debug,183.0999457229914
9,10,do get,136.9105802696077
9,11,configure,120.09994262483266
9,12,enable,90.09994673451882
9,13,notice,85.66606843088167
9,14,cache,83.31399639350106
9,15,can tell,82.67983821077281
